title,link,author,date,tags_start,tags_end,content
CME 當機助攻 AI 散熱題材，5 大散熱概念股一次看,https://abmedia.io/cme-outage-ai-cooling-us-companies,Louis Lin,2025-12-01 17:47:17+08:00,"[""AI 人工智慧"", ""交易市場""]","[""AI"", ""伺服器"", ""冷卻"", ""散熱"", ""晶片"", ""美股"", ""芝商所 (CME)"", ""資料中心""]","美國芝商所 (CME) 因數據中心冷卻設備故障，導致期貨、外匯、債券與選擇權市場皆暫停交易、報價，一度停擺超過 10 小時。這起事故不只凸顯 AI 時代下資料中心的能源與散熱問題，也暴露全球金融市場高度倚賴少數基礎設施的脆弱性。在市場重新檢視 AI 基建風險的同時，與資料中心散熱相關的供應商也受到關注，其中有 6 家美股上市企業也可留意。
資料中心為何會變得這麼熱
作為晶片製造核心材料的半導體，介於導體與絕緣體之間，可透過施加電壓來控制電流是否導通。然而電流在流經材料時會遭遇阻抗並產生熱能，而這些半導體元件正是伺服器中最關鍵、最密集的熱源。
隨著 AI 需求大爆發，企業為了提升算力密度，往往在有限空間內塞入更多伺服器，使資料中心耗電量節節攀升，單位面積的用電甚至可達一般辦公大樓的 50 倍。龐大電力最終都會轉成廢熱，而伺服器擺得愈密越不容易散熱，散熱壓力也隨之急劇升高。
在這樣的環境下，冷卻系統的重要性更加凸顯。僅散熱設備本身，就可能占資料中心 15% 的建置成本，已成為確保營運穩定不可或缺的關鍵基礎設施。
資料中心如何降溫
資料中心的散熱方式主要分為三大類，最早期多採用「吹冷空氣」的方式，可稱為「氣冷散熱」，利用風扇把冷風導向伺服器，再把熱風排出機房。
隨著 AI 帶來更多散熱問題，從 2022 年起，「液冷技術」開始興起，包括讓冷卻液流經晶片背後的冷板，甚至直接把整台伺服器浸在冷卻液中，稱為「浸沒式」，或使用低沸點液體吸熱後再回收。液冷效率雖高，但成本更高、施工複雜，若發生漏液更是難以處理。
無論採空冷或液冷，最後的熱量都會集中到水路系統，再透過冷卻塔或冰水主機排到室外。因此資料中心也時常被關注耗水量問題，尤其是在缺水地區更具爭議。
從左至右分別為，氣冷、液冷與浸沒式的伺服器冷卻散熱概念圖
5 大美股上市散熱企業一次看
時間來到 11/28，美國芝商所 CME Group 因資料中心營運商 CyrusOne 的冷卻設備故障，導致外匯、商品、債券與期貨等市場全面暫停交易、報價凍結。這起事件也讓投資人更加關注散熱相關題材，尤其涉及冷卻技術的美股概念股因而備受關注。
(CME 當機引發市場暫停交易，鏈上交易所又贏了嗎？)
1. Vertiv Holdings (NYSE: VRT)，AI 資料中心液冷解決方案龍頭之一
Vertiv
主要提供完整的液冷組合，包括機架電源分配、熱管理系統、精密冷卻以及監控平台。近年為因應 AI 伺服器的高度需求，Vertiv 持續強化高效能運算 (HPC) 的熱管理能力，並透過策略性收購擴大液冷布局。
受惠於 AI 浪潮，散熱概念股 Vertiv 從今年低點至高點累計大漲逾 279%
2.
nVent Electric (NYSE: NVT)，模組化液冷與 1GW 部署的快速成長者
nVent
近年積極切入資料中心液冷領域，推出列式與機架級冷卻液分配裝置 (CDU)，並提供模組化冷卻與電源管理系統。
公司已累計部署超過 1GW 的液冷容量，顯示其產品已獲主要雲端與 AI 客戶採用。
受惠於 AI 浪潮，散熱概念股 nVent 從今年低點至高點累計大漲逾 180%
3. Eaton Corporation (NYSE: ETN)，以併購進軍高階液冷市場
Eaton
過去以電源管理設備著稱，近期則透過併購來進軍資料中心散熱技術。公司以 95 億美元收購熱管理與材料科技公司 Boyd Thermal，正式將液冷與熱管理能力整合進其電源與能源基礎設施產品線。
此次收購讓 Eaton 能從晶片端一路做到電網端，打造完整的資料中心端到端解決方案，特別針對 AI 伺服器的高熱負載需求。
受惠於 AI 浪潮，散熱概念股 Eaton 從今年低點至高點累計漲幅逾 72%
4. Modine Manufacturing (NYSE: MOD)，高密度運算散熱黑馬
Modine
在資料中心熱管理領域快速冒起，近期拿下
1.8 億美元的資料中心冷卻訂單
，顯示需求動能強勁。其產品組合包括：
精密空調。
液冷技術。
高效能運算專用散熱解決方案。
Modine 表示，在企業加速數位化、AI 訓練與雲端基礎建設需求成長帶動下，資料中心業務將持續強勁成長。被許多分析師視為「液冷與資料中心散熱黑馬」，並有機會在未來數年持續放大市占。
受惠於 AI 浪潮，散熱概念股 Modine 從今年低點至高點累計大漲逾 158%
5.
Schneider Electric (OTC: SBGSY)，全球能源與資料中心熱管理巨頭
法國散熱企業
Schneider Electric
透過 ADR 於美國上市，是全球最大資料中心能源及熱管理設備供應商之一。公司提供完整產品線，包括氣冷、液冷、資料中心基礎設施管理與高效能熱管理模組
Schneider 市值來到 1326
億美元
，在資料中心節能與高熱密度應用上擁有領導地位。面對 AI 伺服器帶來的高熱負載，公司推出多項新一代液冷解決方案，成為全球資料中心轉向液冷的重要推手之一。
受惠於 AI 浪潮，Schneider 在美國 ADR 價格從今年低點至高點累計漲幅逾 51%"
2025 台灣 Google 搜尋關鍵字：比特幣、以太幣上熱搜，這一加密貨幣熱度遠超 ChatGPT,https://abmedia.io/2025-google-trends-search-bitcoin,Neo,2025-12-01 16:29:34+08:00,"[""台灣""]","[""bitcoin"", ""ETH"", ""Google"", ""Pi"", ""以太幣"", ""比特幣""]","時間來到 2025 最後一個月，鏈新聞從 Google 搜尋趨勢上整理了一些有趣的數據。像是過去 12 個月，比特幣、以太幣在台灣的搜尋量持續上升，不過台灣最熱搜的加密貨幣另有其人。
註：以下取自 Google Trends
搜尋數據
調查，自 2025 年 12 月 1 日回推過去 12 個月的搜尋數據。其中分成「搜尋主題」、「搜尋查詢 (關鍵字)」兩種。
熱門：最受歡迎的主題：採相對分數制，最常搜尋的主題為 100 分，相較之下搜尋頻率只有一半的主題則只有 50 分，以此類推。
人氣竄升：12 個月以來，搜尋頻率提高最多的相關主題。搜尋頻率遽增的主題會標示為「飆升」，這類主題可能是過去幾乎沒有任何搜尋次數的新主題。
貨幣、匯率成 2025 台灣搜尋關鍵字，川普關稅、三星電選也上榜
台灣在 Google 的財經相關熱門
搜尋數據
上，以美元、匯率、新台幣、日圓等貨幣主題居冠，霸佔了過去 12 個月的搜尋前四名。
人氣竄升方面，「川普關稅」成年度關鍵字，反映了地緣政治對財經的影響。第二名則是「三星電選四倍十期」，源自於
Threads
上的都市傳說，傳言買這種彩券特別容易中。
Pi 幣成台灣搜尋量成長最多加密貨幣，超越比特幣、以太幣
而搜尋主題上，「以太坊」在 2025 年 Google 台灣搜尋主題中，搜尋量成長 80%，是榜單上的第十名。「比特 幣 價格 美元」搜尋量年增 130%，成第十大關鍵字。同份榜單上，「以太 幣」是第十四名，甚至贏過「特 斯 拉 股票」、「0050」等關鍵字，雙雙反應台灣市場對加密貨幣的興趣激增。
但這並不是過去一年討論度最高的加密貨幣，事實上「Pi 幣」以 350% 的搜尋量增長，躍上榜單第六名，甚至超過「gpt」、「ChatGPT」等 AI 關鍵字。Pi 幣是一個地推多年的加密貨幣，主打手機即可挖礦。由於拖了很多年才發幣，期間累積大量參與者。因此今年宣布上線主網時，瞬間成全網關鍵字。
(
睽違六年，這次 Pi 幣真的上線主網了！OKX 搶先宣布將開放 Pi 幣交易
)"
Sony 宣布發行美元穩定幣，串連全球遊戲與娛樂生態的支付版圖,https://abmedia.io/sony-bank-stablecoin-digital-payments-ecosystem,Crumax,2025-12-01 16:25:17+08:00,"[""商業應用"", ""穩定幣""]","[""BlockBloom"", ""GENIUS Act"", ""soneium"", ""SONY"", ""Sony Bank"", ""娛樂"", ""支付"", ""穩定幣"", ""美元穩定幣"", ""遊戲""]","日經
報導，索尼公司旗下商業銀行 Sony Bank 透露將發行美元穩定幣，試圖利用美國《GENIUS Act》提供的明確監管框架，在全球數位支付競賽中搶先卡位。透過旗下區塊鏈基礎設施 Soneium、Web3 子公司 BlockBloom，整合 PlayStation、Sony Music 與 Sony Pictures 等遊戲娛樂生態，打造無國界的數位結算網路。
GENIUS Act 點燃 Sony 野心，進軍穩定幣市場
Sony Bank 近期向美國提出申請，希望透過子公司 Connectia Trust 取得全國性銀行執照，並依據《GENIUS Act》發行受監管的美元穩定幣。該法案要求穩定幣必須 1:1 以美元現金或債券完全儲備，並接受每月儲備證明與年度審計。
Sony 緊跟法規的穩定幣佈局，不僅確保了合規性，也讓該公司能強化其娛樂生態系統內的跨境交易和數位結算功能。
(
誰才是真正的銀行？國家信託銀行、特許銀行與加密巨頭的監管版圖解析
)
Soneium 與 BlockBloom：Sony 的加密基礎設施已成形
除了穩定幣外，Sony 早已親自打造了多個 Web3 基礎設施，包括採用 OP Stack 打造的以太坊 L2 網路
Soneium
，主打低交易成本與高擴容性，現已吸引超過 170 個專案進駐。
另一方面，Sony 也在幾個月前成立
BlockBloom
，專注提供 Web3 錢包、NFT 市場與諮詢服務，並與 Sony Bank 的監管業務隔離，以提升創新彈性。多基礎設施佈局讓 Sony 能在合規與創新間不落人後。
娛樂帝國全面串連：PlayStation 成最大潛在增長引擎
Sony 的決定性優勢在於其龐大的用戶生態，包括 Sony Music 已推出粉絲 NFT、Sony Pictures 也正測試電影主題的數位收藏品、旗艦級遊戲主機 PlayStation 更探索支援遊戲內交易。
一旦 Sony 的美元穩定幣進入這些平台，將形成類似 Apple 或 Roblox 的支付系統。不論是遊戲付費、內容授權、版權結算或跨境支付，都能透過同一條數位支付通道完成，大幅降低成本並提升生態黏著度。
能否挑戰全球支付版圖？Sony 的機會與挑戰
儘管佈局完善，Sony 仍面臨多項挑戰，包括美國銀行審查時程的不確定性，以及 PayPal 與 Stripe 等支付巨頭的競爭。
另一方面，Sony 選擇發行美元而非日圓穩定幣一事也引發討論，或許原因在於合規與市場基數的差距；隨著 Sony 持續強化各業務與平台之間的整合速度，也有望推動其自家穩定幣至一定規模，打通支付與娛樂生態。
(
日圓穩定幣 JPYC 正式上線，7 大應用場景搶先看
)"
Bitget 提供超過 1200 萬港元救助基金，支援香港宏福苑大火受災戶,https://abmedia.io/hongkong-fire-relief-fund,Bitget,2025-12-01 15:38:41+08:00,"[""贊助文章""]","[""Bitget"", ""捐款"", ""香港宏福苑大火""]","全球最大的
全景交易所 (UEX) Bitget
宣布將捐出 1,540,000 美元（約 12,000,000 港元），全力支援受到香港大埔宏福苑火災影響的家庭，並協助社區重建。此次捐助旨在回應 11 月 26 日於宏福苑屋苑發生的五級火警——這是香港近數十年最嚴重的住宅火災之一，事件波及多座大樓，造成 至少 128 人罹難、逾 70 人受傷，並迫使 超過 900 名居民 遷往臨時庇護中心。
鑑於事件的嚴重性，相關部門已展開刑事及反貪污調查，以查明裝修工程與建材安全問題；同時，救援人員正持續進行搜索、救助與善後工作，受影響家庭亦正尋找失蹤親屬。
為確保救助能以有序、負責與透明的方式送達最需要的家庭，Bitget 已委託香港三家最具信譽的慈善機構執行 12,000,000 港元（約 1.54 百萬美元） 的全部捐款。所有款項均已完成撥付。
仁濟醫院已獲撥款 5,000,000 港元（約 640,000 美元），用以支援緊急醫療服務、傷者治療，以及受災家庭的康復支援。救世軍（香港）已獲撥款 3,500,000 港元（約 450,000 美元），為失去住所或收入的家庭提供現金援助、臨時住宿、基本生活物資及生計支援。保良局已獲撥款 3,500,000 港元（約 450,000 美元），提供心理輔導、社區外展服務，以及為倖存者、喪親家庭和周邊弱勢居民提供長期個案跟進與支援。
這筆救助基金旨在配合香港特區政府的緊急措施，包括臨時住屋安排、受影響屋苑的安全檢查與跟進工程。透過醫療援助、經濟支援、心理健康服務及社區重建工作，合作慈善機構將協助居民度過災後的艱難時刻，並在重建的漫長道路上提供持續支援。
Bitget 與香港市民站在一起，向在宏福苑火災中失去至親的人們致以深切慰問，並期望受影響家庭能早日重建家園，重拾安全與安寧。
關於 Bitget
Bitget
成立於 2018 年，是全球最大的全景交易所（UEX）。Bitget 交易所為 200 多個國家和地區的超過 1.2 億名用戶提供服務，致力於透過其首創的跟單功能以及各類交易解決方案、幫助用戶實現交易「智」變，同時幫助用戶即時了解
比特幣
、
以太幣
，和其他加密貨幣價格。
Bitget Wallet
是一款領先的非託管加密貨幣錢包，支援 130 多個區塊鏈網路和數百萬種代幣。它支援多鏈交易、質押、支付，並提供直接存取 20,000 多個去中心化應用程式（DApp）的通道，同時全面整合高級兌換功能及市場洞察分析能力，成為一站式平台。
Bitget 透過策略合作夥伴關係持續推動加密貨幣採用，現為世界頂級足球聯賽
西甲（LALIGA）
在東亞、東南亞和拉丁美洲市場的官方加密貨幣合作夥伴。秉承全球影響力策略，Bitget 攜手
聯合國兒童基金會（UNICEF）
，致力於 2027 年底為 110 萬人提供區塊鏈教育支援。在賽車運動領域，Bitget 攜手全球最令人興奮的錦標賽之一
MotoGP™
，成為其獨家加密貨幣交易所合作夥伴。
Bitget 官網
|
X
|
Instagram
關於 Bitget Wallet
Bitget Wallet 是全球領先的去中心化 Web3 錢包，服務超過 8,000 萬用戶。支援超過 130 條主流公鍊和數百萬種加密資產，提供一站式資產管理、交易、市場數據、DApp 瀏覽、理財與支付等功能。錢包聚合數百個去中心化交易平台和跨鏈橋，支援多鏈互動。 Bitget Wallet 設立了 3 億美元用戶保護基金，以增強資產安全保障。
Bitget Wallet 官網
|
X"
